,disp,lat,lon,net,sta,disp_pc
2020-01-01 12:00:00,1.17050113415e-10,58.4935,-3.9087,GB,BIGH,57.7746104078
2020-01-02 12:00:00,1.05092331236e-10,58.4935,-3.9087,GB,BIGH,62.0883354991
2020-01-03 12:00:00,4.97461249514e-10,58.4935,-3.9087,GB,BIGH,-79.4572807741
2020-01-04 12:00:00,3.22363959938e-10,58.4935,-3.9087,GB,BIGH,-16.2915900016
2020-01-05 12:00:00,1.1659787672e-10,58.4935,-3.9087,GB,BIGH,57.9377530999
2020-01-06 12:00:00,1.60159525889e-10,58.4935,-3.9087,GB,BIGH,42.2230514755
2020-01-07 12:00:00,2.34608224232e-10,58.4935,-3.9087,GB,BIGH,15.3659626571
2020-01-08 12:00:00,5.87116242134e-10,58.4935,-3.9087,GB,BIGH,-111.799983244
2020-01-09 12:00:00,3.35232148629e-10,58.4935,-3.9087,GB,BIGH,-20.9337408289
2020-01-10 12:00:00,2.66054524196e-10,58.4935,-3.9087,GB,BIGH,4.02182783786
2020-01-11 12:00:00,2.04702598951e-10,58.4935,-3.9087,GB,BIGH,26.1543048609
2020-01-12 12:00:00,2.28556034539e-10,58.4935,-3.9087,GB,BIGH,17.5492673993
2020-01-13 12:00:00,2.9919662495e-10,58.4935,-3.9087,GB,BIGH,-7.93406075901
2020-01-14 12:00:00,2.86229943265e-10,58.4935,-3.9087,GB,BIGH,-3.25637895342
2020-01-15 12:00:00,3.01117365479e-10,58.4935,-3.9087,GB,BIGH,-8.62696070421
2020-01-16 12:00:00,2.00248103793e-10,58.4935,-3.9087,GB,BIGH,27.7612472892
2020-01-17 12:00:00,2.01683589524e-10,58.4935,-3.9087,GB,BIGH,27.2434011932
2020-01-18 12:00:00,3.27345248565e-10,58.4935,-3.9087,GB,BIGH,-18.0885711987
2020-01-19 12:00:00,1.04510407251e-10,58.4935,-3.9087,GB,BIGH,62.2982623951
2020-01-20 12:00:00,1.96998879222e-10,58.4935,-3.9087,GB,BIGH,28.9333928716
2020-01-21 12:00:00,1.8909525141e-10,58.4935,-3.9087,GB,BIGH,31.7845969741
2020-01-22 12:00:00,1.74082209549e-10,58.4935,-3.9087,GB,BIGH,37.2004955413
2020-01-23 12:00:00,2.56436977778e-10,58.4935,-3.9087,GB,BIGH,7.49132165183
2020-01-24 12:00:00,3.76123260272e-10,58.4935,-3.9087,GB,BIGH,-35.6850560527
2020-01-25 12:00:00,1.13148389873e-10,58.4935,-3.9087,GB,BIGH,59.1821425478
2020-01-26 12:00:00,7.73475202803e-11,58.4935,-3.9087,GB,BIGH,72.0971720356
2020-01-27 12:00:00,1.77556477351e-10,58.4935,-3.9087,GB,BIGH,35.9471664569
2020-01-28 12:00:00,1.63939595196e-10,58.4935,-3.9087,GB,BIGH,40.8594056444
2020-01-29 12:00:00,1.52843164465e-10,58.4935,-3.9087,GB,BIGH,44.86240143
2020-01-30 12:00:00,2.32557553479e-10,58.4935,-3.9087,GB,BIGH,16.1057344434
2020-01-31 12:00:00,1.78113198715e-10,58.4935,-3.9087,GB,BIGH,35.746331312
2020-02-01 12:00:00,5.56953711749e-10,58.4935,-3.9087,GB,BIGH,-100.918963488
2020-02-02 12:00:00,7.22956715913e-11,58.4935,-3.9087,GB,BIGH,73.9196075108
2020-02-03 12:00:00,3.84672790623e-10,58.4935,-3.9087,GB,BIGH,-38.7692670744
2020-02-04 12:00:00,2.65480200807e-10,58.4935,-3.9087,GB,BIGH,4.22901284708
2020-02-05 12:00:00,2.88926115134e-10,58.4935,-3.9087,GB,BIGH,-4.22901284708
2020-02-06 12:00:00,8.57425098104e-10,58.4935,-3.9087,GB,BIGH,-209.312889644
2020-02-07 12:00:00,5.67379702763e-10,58.4935,-3.9087,GB,BIGH,-104.680100659
2020-02-08 12:00:00,1.33637131512e-10,58.4935,-3.9087,GB,BIGH,51.7909058143
2020-02-09 12:00:00,1.66843078921e-10,58.4935,-3.9087,GB,BIGH,39.8119847758
2020-02-10 12:00:00,2.61368103944e-10,58.4935,-3.9087,GB,BIGH,5.71243637418
2020-02-11 12:00:00,4.22088957132e-10,58.4935,-3.9087,GB,BIGH,-52.2670088691
2020-02-12 12:00:00,3.04810524354e-10,58.4935,-3.9087,GB,BIGH,-9.9592539224
2020-02-13 12:00:00,1.95850962887e-10,58.4935,-3.9087,GB,BIGH,29.347499386
2020-02-14 12:00:00,1.45308440814e-10,58.4935,-3.9087,GB,BIGH,47.5805247395
2020-02-15 12:00:00,1.86988018231e-10,58.4935,-3.9087,GB,BIGH,32.5447734435
2020-02-16 12:00:00,1.91575552175e-10,58.4935,-3.9087,GB,BIGH,30.889837772
2020-02-17 12:00:00,3.11779184851e-10,58.4935,-3.9087,GB,BIGH,-12.4731720714
2020-02-18 12:00:00,2.01228071403e-10,58.4935,-3.9087,GB,BIGH,27.4077276476
2020-02-19 12:00:00,1.92046994429e-10,58.4935,-3.9087,GB,BIGH,30.7197667463
2020-02-20 12:00:00,3.25712214226e-10,58.4935,-3.9087,GB,BIGH,-17.499460183
2020-02-21 12:00:00,3.24307607884e-10,58.4935,-3.9087,GB,BIGH,-16.9927537113
2020-02-22 12:00:00,3.57745482584e-10,58.4935,-3.9087,GB,BIGH,-29.0553416503
2020-02-23 12:00:00,2.29148287376e-10,58.4935,-3.9087,GB,BIGH,17.3356144086
2020-02-24 12:00:00,3.70604675613e-10,58.4935,-3.9087,GB,BIGH,-33.6942473262
2020-02-25 12:00:00,2.08435570557e-10,58.4935,-3.9087,GB,BIGH,24.807649349
2020-02-26 12:00:00,2.08740412118e-10,58.4935,-3.9087,GB,BIGH,24.6976788986
2020-02-27 12:00:00,6.52677921375e-10,58.4935,-3.9087,GB,BIGH,-135.451113239
2020-02-28 12:00:00,2.09330416552e-10,58.4935,-3.9087,GB,BIGH,24.4848370112
2020-02-29 12:00:00,1.77143670257e-10,58.4935,-3.9087,GB,BIGH,36.0960850685
2020-03-01 12:00:00,1.47292877309e-10,58.4935,-3.9087,GB,BIGH,46.8646467133
2020-03-02 12:00:00,3.2777855941e-10,58.4935,-3.9087,GB,BIGH,-18.2448864616
2020-03-03 12:00:00,2.4673536404e-10,58.4935,-3.9087,GB,BIGH,10.9911424363
2020-03-04 12:00:00,1.37809310327e-10,58.4935,-3.9087,GB,BIGH,50.2858079482
2020-03-05 12:00:00,1.59627064667e-10,58.4935,-3.9087,GB,BIGH,42.415134865
2020-03-06 12:00:00,1.69639354792e-10,58.4935,-3.9087,GB,BIGH,38.8032387387
2020-03-07 12:00:00,6.56434744039e-11,58.4935,-3.9087,GB,BIGH,76.3193627069
2020-03-08 12:00:00,6.32872799111e-11,58.4935,-3.9087,GB,BIGH,77.1693510368
2020-03-09 12:00:00,7.72076488268e-10,58.4935,-3.9087,GB,BIGH,-178.523698619
2020-03-10 12:00:00,2.66783153259e-10,58.4935,-3.9087,GB,BIGH,3.75897763496
2020-03-11 12:00:00,2.66870185899e-10,58.4935,-3.9087,GB,BIGH,3.72758093625
2020-03-12 12:00:00,6.35857564451e-10,58.4935,-3.9087,GB,BIGH,-129.383232538
2020-03-13 12:00:00,2.66886853304e-10,58.4935,-3.9087,GB,BIGH,3.72156823257
2020-03-14 12:00:00,7.78062886971e-11,58.4935,-3.9087,GB,BIGH,71.9316730492
2020-03-15 12:00:00,1.32721246861e-10,58.4935,-3.9087,GB,BIGH,52.1213077682
2020-03-16 12:00:00,1.44131218786e-10,58.4935,-3.9087,GB,BIGH,48.0052031726
2020-03-17 12:00:00,2.50619312493e-10,58.4935,-3.9087,GB,BIGH,9.59002259276
2020-03-18 12:00:00,3.14066017464e-10,58.4935,-3.9087,GB,BIGH,-13.2981383632
2020-03-19 12:00:00,1.80547022029e-10,58.4935,-3.9087,GB,BIGH,34.868338676
2020-03-20 12:00:00,1.99883311112e-10,58.4935,-3.9087,GB,BIGH,27.892844881
2020-03-21 12:00:00,7.60036114802e-11,58.4935,-3.9087,GB,BIGH,72.5819820969
2020-03-22 12:00:00,6.02078671592e-11,58.4935,-3.9087,GB,BIGH,78.2802376423
2020-03-23 12:00:00,1.75511105297e-10,58.4935,-3.9087,GB,BIGH,36.6850267572
2020-03-24 12:00:00,2.61930537768e-10,58.4935,-3.9087,GB,BIGH,5.50954048084
2020-03-25 12:00:00,2.03771271019e-10,58.4935,-3.9087,GB,BIGH,26.4902779207
